id,aluno_id,curso_id,data_matricula,status,data_conclusao,valor_pago
1,30,13,2024-11-04,cancelada,,0.0
2,22,6,2025-08-02,cancelada,2025-10-28,272.0
3,16,13,2025-06-24,concluida,,0.0
4,2,1,2025-01-07,ativa,2025-03-01,436.18
5,13,17,2025-05-29,concluida,2025-09-27,313.98
6,16,5,2025-09-09,ativa,,0.0
7,17,4,2025-07-01,concluida,,222.92
8,17,18,2024-10-26,cancelada,2024-12-09,216.09
9,2,8,2025-05-04,concluida,2025-10-24,0.0
10,28,13,2025-02-03,concluida,2025-03-20,0.0
11,17,19,2024-11-09,ativa,2025-03-15,0.0
12,16,14,2024-10-31,concluida,,294.04
13,19,20,2025-10-18,cancelada,,203.6
14,13,15,2025-01-30,ativa,2025-04-22,0.0
15,11,16,2024-11-08,ativa,,0.0
16,30,3,2025-02-20,concluida,,0.0
17,23,7,2025-03-12,ativa,2025-07-06,298.6
18,17,15,2025-09-25,cancelada,2025-11-07,0.0
19,15,7,2025-01-05,cancelada,,373.25
20,8,11,2025-03-15,ativa,,0.0
21,7,5,2025-08-27,cancelada,,0.0
22,29,13,2025-06-08,cancelada,,0.0
23,21,20,2025-10-17,concluida,,226.22
24,29,20,2024-11-26,cancelada,,226.22
25,29,14,2025-09-09,concluida,,367.55
26,24,9,2025-09-06,ativa,,0.0
27,29,5,2025-08-07,concluida,2025-11-23,0.0
28,29,8,2025-06-20,cancelada,,0.0
29,19,12,2025-10-05,cancelada,,314.59
30,29,17,2025-07-23,concluida,2025-10-24,313.98
31,21,3,2025-05-14,ativa,,0.0
32,2,20,2025-04-14,concluida,,226.22
33,24,5,2025-09-25,ativa,,0.0
34,12,11,2025-01-09,ativa,2025-04-04,0.0
35,11,7,2025-10-12,ativa,,373.25
36,9,9,2025-07-06,concluida,,0.0
37,22,19,2024-11-09,ativa,2024-12-22,0.0
38,27,7,2025-03-20,ativa,2025-05-18,373.25
39,12,19,2025-08-05,concluida,,0.0
40,18,16,2025-09-30,concluida,,0.0
41,21,9,2025-04-10,concluida,2025-09-05,0.0
42,1,19,2025-08-14,ativa,,0.0
43,15,13,2025-09-05,concluida,,0.0
44,6,20,2025-01-16,concluida,2025-05-21,203.6
45,30,18,2025-03-13,concluida,,203.38
46,25,9,2025-09-16,ativa,,0.0
47,28,17,2025-06-29,concluida,,266.88
48,2,19,2025-05-05,concluida,,0.0
49,30,5,2025-06-28,concluida,2025-09-19,0.0
50,3,19,2024-12-26,ativa,,0.0
51,18,6,2025-08-14,concluida,,272.0
52,24,19,2025-07-28,cancelada,2025-11-23,0.0
53,21,19,2025-03-02,cancelada,,0.0
54,3,1,2025-09-23,cancelada,,484.64
55,7,6,2025-03-04,cancelada,2025-04-16,272.0
56,16,2,2025-10-07,ativa,,0.0
57,27,1,2025-04-27,concluida,,484.64
58,27,19,2025-08-08,concluida,,0.0
59,25,19,2025-08-21,concluida,,0.0
60,9,16,2025-06-15,ativa,,0.0
61,6,18,2025-08-11,cancelada,2026-02-05,254.22
62,29,18,2025-03-09,concluida,2025-08-20,254.22
63,14,17,2025-09-12,cancelada,,313.98
64,30,4,2025-07-27,concluida,2025-08-28,222.92
65,19,3,2025-10-20,ativa,,0.0
66,5,16,2025-01-20,cancelada,,0.0
67,5,4,2025-05-21,ativa,,222.92
68,25,14,2024-11-18,cancelada,,367.55
69,27,15,2025-06-02,concluida,,0.0
70,28,6,2025-10-06,ativa,,244.8
71,20,6,2025-06-09,cancelada,,272.0
72,6,10,2025-02-15,ativa,,163.97
73,12,4,2025-08-30,cancelada,,189.48
74,3,4,2024-11-25,ativa,,222.92
75,10,12,2025-04-11,cancelada,2025-06-16,314.59
76,21,11,2025-05-08,cancelada,,0.0
77,26,3,2025-07-29,ativa,,0.0
78,2,10,2025-07-15,concluida,,163.97
79,30,12,2025-04-03,cancelada,2025-09-11,251.67
80,22,7,2025-03-27,concluida,,373.25
