id,matricula_id,aula_id,concluida,data_conclusao,tempo_assistido_minutos
1,1,37,False,,29
2,1,38,False,,3
3,2,16,True,2025-08-20T00:00:00,8
4,2,17,True,2025-09-01T00:00:00,42
5,3,37,True,2025-07-19T00:00:00,24
6,4,1,True,2025-02-05T00:00:00,13
7,4,2,True,2025-01-12T00:00:00,2
8,5,50,True,2025-06-03T00:00:00,24
9,6,13,False,,13
10,6,14,True,2025-10-02T00:00:00,3
11,6,15,True,2025-09-21T00:00:00,4
12,7,10,False,,7
13,7,11,False,,4
14,7,12,False,,19
15,8,52,True,2024-11-07T00:00:00,29
16,8,53,True,2024-11-10T00:00:00,7
17,8,54,True,2024-11-16T00:00:00,14
18,9,23,True,2025-06-02T00:00:00,17
19,9,24,True,2025-05-22T00:00:00,10
20,10,38,True,2025-02-09T00:00:00,12
21,10,39,True,2025-02-15T00:00:00,10
22,11,56,True,2024-11-30T00:00:00,25
23,11,57,True,2024-11-12T00:00:00,9
24,12,40,False,,14
25,12,42,False,,0
26,13,58,False,,28
27,13,59,False,,22
28,13,60,True,2025-11-07T00:00:00,7
29,14,45,True,2025-02-15T00:00:00,8
30,15,47,True,2024-11-13T00:00:00,19
31,16,7,False,,4
32,16,9,False,,43
33,17,19,False,,35
34,17,21,True,2025-03-17T00:00:00,30
35,18,44,False,,13
36,18,45,False,,7
37,19,19,True,2025-01-14T00:00:00,8
38,19,20,False,,13
39,19,21,False,,18
40,20,31,False,,21
41,20,32,True,2025-04-11T00:00:00,5
42,20,33,False,,8
43,21,14,True,2025-09-16T00:00:00,0
44,21,15,True,2025-09-25T00:00:00,20
45,22,39,True,2025-06-16T00:00:00,41
46,23,58,True,2025-10-25T00:00:00,0
47,24,58,True,2024-12-19T00:00:00,16
48,24,60,True,2024-12-09T00:00:00,14
49,25,41,True,2025-10-05T00:00:00,32
50,25,42,True,2025-09-15T00:00:00,24
51,26,27,False,,10
52,27,13,True,2025-08-19T00:00:00,16
53,27,14,True,2025-08-23T00:00:00,16
54,28,22,True,2025-07-05T00:00:00,15
55,28,23,False,,6
56,28,24,True,2025-07-02T00:00:00,20
57,29,34,True,2025-10-15T00:00:00,1
58,29,35,True,2025-10-28T00:00:00,40
59,29,36,True,2025-10-17T00:00:00,19
60,30,49,True,2025-08-06T00:00:00,19
61,30,50,True,2025-07-28T00:00:00,36
62,31,7,True,2025-05-25T00:00:00,9
63,31,8,True,2025-05-16T00:00:00,35
64,31,9,False,,42
65,32,58,True,2025-04-18T00:00:00,32
66,32,59,True,2025-04-16T00:00:00,13
67,32,60,True,2025-05-13T00:00:00,9
68,33,13,False,,5
69,33,15,True,2025-09-30T00:00:00,14
70,34,33,True,2025-02-01T00:00:00,24
71,35,19,True,2025-11-06T00:00:00,15
72,35,20,True,2025-10-23T00:00:00,29
73,35,21,True,2025-10-17T00:00:00,34
74,36,25,False,,6
75,36,26,True,2025-07-23T00:00:00,3
76,36,27,True,2025-08-04T00:00:00,19
77,37,56,True,2024-12-06T00:00:00,8
78,37,57,True,2024-12-06T00:00:00,8
79,38,19,True,2025-04-05T00:00:00,14
80,38,20,True,2025-03-24T00:00:00,25
81,38,21,True,2025-04-14T00:00:00,31
82,39,55,True,2025-08-26T00:00:00,9
83,39,56,True,2025-09-03T00:00:00,0
84,39,57,True,2025-08-10T00:00:00,8
85,40,46,True,2025-10-07T00:00:00,9
86,40,47,True,2025-10-09T00:00:00,5
87,41,26,True,2025-04-30T00:00:00,4
88,41,27,False,,17
89,42,55,True,2025-09-02T00:00:00,9
90,42,56,True,2025-08-25T00:00:00,28
91,42,57,True,2025-08-25T00:00:00,10
92,43,37,True,2025-09-16T00:00:00,31
93,43,39,True,2025-09-13T00:00:00,36
94,44,60,True,2025-01-25T00:00:00,11
95,45,52,False,,17
96,46,25,True,2025-10-08T00:00:00,1
97,46,27,False,,18
98,47,49,False,,17
99,47,50,True,2025-07-22T00:00:00,33
100,47,51,True,2025-07-09T00:00:00,16
101,48,57,True,2025-05-11T00:00:00,1
102,49,14,True,2025-07-09T00:00:00,6
103,49,15,True,2025-07-10T00:00:00,8
104,50,55,True,2024-12-27T00:00:00,12
105,50,56,False,,33
106,50,57,True,2025-01-18T00:00:00,9
107,51,17,True,2025-09-10T00:00:00,23
108,51,18,True,2025-09-12T00:00:00,22
