id,modulo_id,titulo,duracao_minutos,conteudo
1,1,Aula 1: A arte de inovar naturalmente,22,"Ullam molestias inventore eos inventore. Fuga temporibus nemo ipsa dolore facilis expedita rerum.
Illum eum occaecati consequatur.
Fugit soluta veritatis dolorem saepe repellendus repellendus. Recusandae minima nesciunt eius quo ab nemo. Sequi voluptates eligendi tempora illum.
Cupiditate officia corrupti inventore similique recusandae. Nostrum nobis fuga nihil officiis autem.
Unde accusamus fugiat debitis deleniti excepturi. Harum possimus corrupti voluptatem quis rerum architecto."
2,2,Aula 1: A vantagem de evoluir simplesmente,27,"Sint in odio dignissimos adipisci laudantium. Ipsa voluptate deleniti. Consectetur non optio.
Incidunt incidunt odio illum reprehenderit laborum. Impedit soluta dolorum atque fugit quisquam atque. In dolorem fugiat cumque fugiat ducimus.
Dicta occaecati voluptas error aliquam aliquid. Explicabo eveniet nemo mollitia placeat quia. Eligendi sequi inventore tempora et praesentium enim.
Consequatur voluptatem quam. Enim soluta eos excepturi sequi."
3,3,Aula 1: A arte de evoluir naturalmente,42,"Minus quos eaque placeat. Quod minus unde error. Incidunt laboriosam molestiae nemo perferendis molestiae.
Aspernatur magni rem eius est perferendis quisquam quisquam. Adipisci quis magni cum natus.
Distinctio dolores distinctio voluptatibus. Ad nam distinctio iure nesciunt dolorum. Saepe atque voluptas corrupti dignissimos. Placeat quo dolores ea.
Nobis vel est fuga blanditiis. Corporis consectetur voluptas earum fugit vel assumenda. Aliquam amet assumenda numquam."
4,4,Aula 1: O poder de mudar naturalmente,40,"Error distinctio architecto dolore velit dignissimos.
Optio quo dolorum libero at quisquam. Exercitationem esse distinctio pariatur perferendis necessitatibus vitae facilis. Repellendus at id quas quam cumque aspernatur.
Accusantium voluptatem vitae doloremque. Dolores id expedita.
Cum recusandae repellendus quod. Non hic veritatis saepe inventore illum.
Eaque dolore dolore ut nemo sit. Iure natus quasi. Quasi ipsum asperiores sed quae."
5,5,Aula 1: A possibilidade de inovar com toda a tranquilidade,24,"Nulla fugiat natus alias. Voluptates totam deleniti laborum soluta doloribus voluptate.
Facere neque in officia numquam distinctio maiores. Accusantium nulla vitae quas sequi incidunt.
Accusamus necessitatibus officiis temporibus occaecati. Excepturi natus incidunt a accusamus fuga. Fugit ea reprehenderit cumque numquam.
Excepturi minima ut magnam.
Neque dolorem nulla dolore quaerat consectetur accusamus. Qui quae vel blanditiis repellat."
6,6,Aula 1: A certeza de concretizar seus projetos mais rapidamente,28,"Saepe culpa neque animi voluptatibus. Non eos porro vel. Rem omnis dolorum omnis.
Possimus architecto nemo voluptatibus veniam quaerat adipisci dignissimos. Soluta non iusto non.
Consectetur doloribus pariatur animi distinctio error. Ad dicta fugit omnis. Optio provident quae aspernatur libero aliquid modi nostrum.
Dolor pariatur consequatur et. Consectetur aliquid rem eligendi hic.
Doloremque voluptatibus consectetur eius dicta incidunt. Inventore nisi nulla cupiditate nobis rem autem nobis."
7,7,Aula 1: A certeza de avançar simplesmente,39,"Fugit rerum deleniti quasi. Nulla illum quia dolore.
Velit perferendis nulla magnam nostrum quisquam sapiente. Magni sunt quo maiores voluptate fugit fugit. Tempore commodi sapiente exercitationem at ducimus assumenda.
Aliquid repellat aliquid nostrum expedita maxime perspiciatis. Blanditiis nulla molestiae odio a fuga optio.
Minima maiores deleniti consequatur animi vitae. Sed unde ipsa itaque commodi. Reprehenderit dignissimos ratione quasi voluptatem. Numquam necessitatibus temporibus quas."
8,8,Aula 1: A vantagem de avançar de maneira eficaz,43,"Molestias adipisci ut. Ipsum cum fuga fugit quas veniam esse.
Explicabo aut culpa autem ullam perferendis odio sunt. Itaque amet quae nam nesciunt velit inventore.
Odit ex sequi necessitatibus beatae harum culpa iusto. Itaque delectus eos mollitia. Optio aut exercitationem facere beatae occaecati unde error. Quis expedita nobis cupiditate fuga alias amet.
Ad fugiat nostrum vitae reprehenderit temporibus fugit. Sapiente repellat accusamus facere.
Neque minus delectus at. Dolorem dolorem in."
9,9,Aula 1: O poder de evoluir naturalmente,45,"Mollitia magnam praesentium veniam accusantium possimus illo. Quidem dolore alias blanditiis. Quisquam officiis officiis molestiae officia totam.
Quos aliquam nobis dolores quae id dicta. Explicabo molestiae quam molestiae illum. Magnam soluta voluptates aperiam enim modi eos.
Laboriosam eos culpa. Ipsam porro occaecati aliquid. Culpa aperiam reprehenderit voluptatem deserunt amet."
10,10,Aula 1: A simplicidade de realizar seus sonhos mais facilmente,11,"Tempore laboriosam atque nesciunt qui occaecati. Sapiente soluta similique deleniti.
Perspiciatis quaerat earum minima numquam id.
Veniam quidem sequi atque velit pariatur repellendus. Quo necessitatibus odio vero. Occaecati iure deserunt.
Dolorem reiciendis architecto dolore ab beatae. Veritatis modi quod quaerat fugit ullam accusamus. Iure quod ex dignissimos.
Necessitatibus architecto beatae vero dolorum. Molestias ratione cupiditate deserunt omnis nam. Expedita a eos placeat expedita iusto."
