id,curso_id,titulo,descricao,ordem
1,1,Módulo 1: A possibilidade de mudar de maneira eficaz,"Voluptatum itaque laboriosam possimus voluptates labore facilis pariatur. Sint inventore iste fuga possimus repellat.
Accusantium voluptatum sunt expedita id adipisci numquam. Tempore officiis vitae facilis inventore culpa.",1
2,1,Módulo 2: O direito de evoluir em estado puro,"Provident est rem culpa dignissimos harum. In non quod sapiente ex suscipit laborum. Mollitia cumque magnam error harum voluptatum harum.
Quos inventore consequuntur ab quae ratione neque. Sint iste nam corporis velit dolores. Atque totam totam eos ratione iste.",2
3,1,Módulo 3: A segurança de conseguir com confiança,Minus blanditiis repudiandae occaecati quas id. Non perferendis molestias repudiandae voluptatibus. Soluta reiciendis ipsum labore voluptates harum.,3
4,2,Módulo 1: O direito de atingir seus objetivos de maneira eficaz,"Officiis ut quaerat commodi. Sunt dolore illo culpa.
Officia sit aut illo error illum. Molestias quia impedit saepe. Reiciendis autem nam fuga voluptatem non distinctio. Ipsum amet officia dolores dolorum eligendi reiciendis.
Itaque porro quo enim perspiciatis. Dolores harum mollitia nam harum.",1
5,2,Módulo 2: A arte de evoluir de maneira eficaz,"Provident reprehenderit eaque cumque. Veniam neque consequuntur soluta soluta laboriosam omnis. Veniam temporibus libero repellat consequuntur. Voluptatum dolore quae quasi.
Recusandae laborum doloribus provident fugit. Assumenda reiciendis odit nihil delectus iste enim.",2
6,2,Módulo 3: O conforto de conseguir mais rapidamente,"Ad harum nostrum pariatur cum deserunt quisquam. Consequuntur doloremque numquam quos. Possimus labore omnis nesciunt exercitationem nemo.
Distinctio iusto ducimus soluta debitis debitis expedita. Odit recusandae eos rerum voluptatum excepturi cum.",3
7,3,Módulo 1: A possibilidade de inovar direto da fonte,"Odio consequatur eaque. Quisquam similique quos recusandae fugit facilis aperiam.
Facere aperiam optio nam saepe autem velit sint. Eos eum enim nobis enim doloribus illum et.
Culpa sapiente sit alias doloribus. Ut tenetur assumenda ut error amet veniam ratione.",1
8,3,Módulo 2: A arte de avançar antes de tudo,"In autem numquam enim vero quibusdam illo nulla. Magni corporis harum.
Ipsum praesentium quidem blanditiis officiis dolores. Eum inventore modi maxime.
Optio impedit praesentium dicta. Quibusdam adipisci error laboriosam officiis velit laudantium tempora. Temporibus corrupti recusandae unde.",2
9,3,Módulo 3: A liberdade de concretizar seus projetos direto da fonte,"Ipsam ab ad ex sed quo. Incidunt nostrum assumenda animi.
Blanditiis unde ullam magnam aliquam distinctio facere. Laboriosam veritatis quam incidunt. Eum enim consequatur vel dignissimos.",3
10,4,Módulo 1: O direito de atingir seus objetivos sem preocupação,"Esse rerum repudiandae molestias laborum est. Esse molestias optio voluptatibus nisi. Asperiores molestias expedita.
Mollitia fuga exercitationem sit. Earum itaque architecto error laboriosam.
Nemo quam blanditiis quisquam eaque. Fugit blanditiis est quod nihil.",1
11,4,Módulo 2: A liberdade de avançar com confiança,"Ipsa placeat repudiandae aliquid. Neque atque tenetur aperiam doloribus.
Tempora nihil et animi sint cumque optio. Minus quasi repellat consectetur temporibus iure porro. Deleniti ab corporis odit. Iusto eaque veritatis voluptatem eligendi aliquid.",2
12,4,Módulo 3: A vantagem de atingir seus objetivos antes de tudo,"Quos ducimus fugiat. Expedita dolor impedit voluptas perferendis dolorem.
Laudantium harum adipisci porro ducimus repellat perferendis. Totam fugiat sunt quaerat consectetur.",3
