id,matricula_id,curso_id,nota,comentario,data_avaliacao
1,1,13,10,"Optio dolores illum nostrum labore.
Quaerat deleniti rerum totam perspiciatis. Quisquam repellat amet est excepturi. Officiis ad aliquam consequatur.
Possimus ad voluptates molestiae odit perspiciatis vitae.
Voluptatem explicabo laudantium quo iure. Exercitationem nisi totam eius autem maxime.",2024-11-27T00:00:00
2,2,6,4,,2025-09-17T00:00:00
3,3,13,9,"Tempore provident dolore id vitae omnis. Exercitationem dolores sed consectetur nobis reprehenderit. Laudantium in aperiam pariatur.
Odio iste beatae. Quae est quos quis tempore. Culpa quibusdam neque voluptates architecto at.",2025-08-10T00:00:00
4,4,1,10,"Aliquid quasi officiis ea. Repellendus repellendus sint in.
Culpa cum non necessitatibus. Fugiat quia qui laborum perspiciatis. Voluptate mollitia placeat repellendus harum omnis.",2025-02-08T00:00:00
5,5,17,5,"Tenetur sit inventore inventore quas quo. Reprehenderit eligendi dicta magnam laborum illo.
Fugit possimus sapiente aliquam dolores ipsa. Vel laboriosam maiores architecto atque laudantium adipisci.",2025-07-22T00:00:00
6,6,5,4,"Ipsam vel nam ipsum laboriosam magnam inventore. In nobis reiciendis exercitationem iure.
Error consequatur quas alias voluptatem inventore. Voluptate adipisci assumenda minima velit reiciendis.",2025-10-04T00:00:00
7,7,4,5,,2025-07-27T00:00:00
8,8,18,1,"Laboriosam suscipit quam reiciendis nam officia possimus deleniti. Nesciunt expedita nemo ex. Quam animi repudiandae nam.
Natus veritatis neque illo reiciendis. Facere maxime illo doloribus. Hic officiis nesciunt reiciendis quae praesentium voluptatibus.",2024-11-24T00:00:00
9,11,19,2,,2024-11-30T00:00:00
10,13,20,10,,2025-11-05T00:00:00
11,14,15,5,"Corrupti libero exercitationem quod vitae praesentium tenetur et. Labore ad dicta.
Iure aperiam a et. Suscipit id asperiores.
Voluptatibus et commodi consequuntur perspiciatis sit suscipit. Deleniti est laudantium tempora.",2025-04-12T00:00:00
12,16,3,10,"Nam quibusdam porro adipisci illo. Modi cumque veniam quis natus illo. Molestiae officiis soluta vitae ipsum alias at.
Aperiam quas sit exercitationem ipsa facere labore. Dolorem officiis iste modi eveniet nostrum possimus veniam.
Dolorem sint cumque adipisci.",2025-05-17T00:00:00
13,17,7,6,,2025-05-11T00:00:00
14,18,15,6,,2025-11-15T00:00:00
15,20,11,10,,2025-05-03T00:00:00
16,21,5,6,,2025-11-04T00:00:00
17,23,20,4,,2025-12-06T00:00:00
18,24,20,7,"Beatae odio id autem quis exercitationem. Dolore dolores maiores eveniet at. Tenetur officiis vel occaecati. Quam quia doloribus esse architecto molestias excepturi.
Nemo fuga beatae. Consequatur neque dignissimos dolor. Est amet a ab. Iste facilis ab possimus.",2025-01-15T00:00:00
19,25,14,2,"Ea necessitatibus officiis. Modi molestias ipsum quo facere libero impedit. Quas beatae et dicta.
Ad earum voluptatem magni repudiandae odit. Voluptates sapiente aperiam velit possimus. Inventore eveniet nobis libero esse.",2025-10-08T00:00:00
20,26,9,4,"Eveniet maxime quidem nisi nihil. Laborum occaecati voluptates dolor suscipit repellat quo qui.
Animi fugiat ut accusamus. Nesciunt natus rem excepturi tenetur numquam minima distinctio. Tempora tenetur deleniti.",2025-11-21T00:00:00
21,27,5,8,"Praesentium in unde rerum. Nesciunt voluptas nihil magni doloremque nisi sint velit.
Id magni recusandae alias in quis.
Quibusdam cupiditate cumque maxime. Debitis et reiciendis voluptatibus nobis aliquam.
Amet itaque accusantium autem minus fugiat suscipit. Iste fuga ut mollitia sed ut enim.",2025-10-21T00:00:00
22,28,8,4,,2025-07-28T00:00:00
23,29,12,4,,2025-11-08T00:00:00
24,32,20,2,,2025-06-28T00:00:00
25,33,5,4,,2025-12-10T00:00:00
26,34,11,3,"Blanditiis error dicta. Suscipit fugit nesciunt quas fuga officia voluptate.
Officia architecto dolor facilis omnis. Reiciendis rerum dolorem incidunt ratione odit officia. Quam aliquid sit in.
Voluptas optio modi nulla. Quasi error dolor ea.",2025-01-16T00:00:00
27,36,9,9,,2025-09-16T00:00:00
28,37,19,9,,2025-01-22T00:00:00
29,39,19,3,,2025-10-21T00:00:00
30,40,16,4,,2025-11-25T00:00:00
31,41,9,4,"Soluta odio veniam temporibus soluta qui placeat. Consectetur nobis aut laboriosam. Necessitatibus repellendus numquam doloribus corporis accusamus.
Nam velit facilis quasi totam totam. Incidunt consequuntur explicabo nisi illo temporibus. Esse tempore omnis delectus.",2025-05-13T00:00:00
32,42,19,10,"Unde in hic explicabo. Incidunt earum blanditiis nemo assumenda.
Dolore veniam quisquam. Quidem eum iusto voluptatibus. Error aut placeat.
Necessitatibus recusandae neque dolor molestiae. Voluptatibus assumenda quidem temporibus cupiditate non accusamus.",2025-11-12T00:00:00
33,43,13,3,"Temporibus in quo corrupti cum. Aspernatur neque est dolor cupiditate animi. Adipisci pariatur maxime. Cupiditate labore consequatur ducimus nesciunt.
Delectus vitae fuga ut odit error.
Non officiis quasi qui doloribus. Iste aliquam sint accusamus. Quas fuga amet exercitationem officiis laborum.",2025-12-04T00:00:00
34,44,20,2,"Eaque at accusamus. Placeat fuga doloremque ea perspiciatis temporibus. Ducimus dignissimos eius placeat illo.
Porro libero eaque ad sint eaque sequi tempora. Maxime iste id id nemo perspiciatis. Saepe repellat soluta assumenda recusandae.",2025-02-10T00:00:00
35,46,9,8,"Architecto ab quia et. Ut corrupti quos excepturi.
Non error veritatis quisquam aspernatur. Dolores molestiae id amet perferendis impedit quam ullam. Corporis animi aspernatur delectus earum. Iste nihil nemo unde autem dolorum incidunt.
Nobis mollitia eligendi quia error nesciunt accusamus.",2025-11-26T00:00:00
36,49,5,9,,2025-09-20T00:00:00
37,51,6,8,"Distinctio velit aspernatur molestiae impedit corrupti. Minus modi maxime assumenda voluptatem. Nam inventore illum atque voluptatum amet.
Autem nostrum corrupti accusantium quasi quod distinctio. Magnam quibusdam omnis asperiores quia fugiat.
Quae ab sunt deserunt.",2025-09-24T00:00:00
38,52,19,10,"Quidem dolor fugit accusamus.
Nobis est dicta odio laboriosam autem at. Quis recusandae nihil quasi quibusdam. Illum illum fuga ipsum ab quo numquam.
Impedit neque autem temporibus fugiat dignissimos reprehenderit sit. Eligendi quae nostrum reprehenderit. Maiores labore non aliquam.",2025-09-23T00:00:00
39,53,19,5,Distinctio itaque ab repellendus reiciendis consectetur. Magni incidunt harum quasi illum explicabo atque animi. Sed voluptatibus natus illo nam libero. Soluta ratione nobis minus aperiam impedit.,2025-03-30T00:00:00
40,54,1,5,,2025-11-26T00:00:00
41,56,2,4,"Corrupti dolores quia mollitia ex magni. Error temporibus accusantium corrupti est suscipit. Ab quam nostrum nam error reiciendis nostrum.
Natus eveniet quisquam quas laborum. Ipsum vitae suscipit quidem minima.",2025-11-26T00:00:00
42,57,1,7,,2025-07-17T00:00:00
43,60,16,1,,2025-08-19T00:00:00
44,61,18,8,,2025-10-19T00:00:00
45,65,3,9,,2025-12-31T00:00:00
46,66,16,5,,2025-03-13T00:00:00
47,67,4,9,,2025-08-10T00:00:00
48,68,14,10,,2025-02-13T00:00:00
49,70,6,1,"Et iusto deleniti qui veniam nihil. Tempora pariatur mollitia consectetur sint consequatur ad. Hic facere omnis.
Molestias natus tempore animi. Earum voluptate maiores deleniti omnis facere ad.",2025-10-16T00:00:00
50,72,10,1,"Itaque vero quos itaque debitis optio voluptas. Quod cumque quisquam fugiat. Itaque quas itaque accusamus inventore.
Tempore unde optio consequatur atque optio atque.
Dolorem ut dignissimos deleniti possimus at assumenda iusto. Explicabo fugiat excepturi reprehenderit est beatae.",2025-05-05T00:00:00
