id,titulo,descricao,data_inicio,data_fim,categoria_id,instrutor_id,carga_horaria,nivel,preco,data_criacao
1,O prazer de conseguir de maneira eficaz - Avancado,"Voluptatibus placeat et sunt repudiandae. A ullam repudiandae vel. Ipsa expedita amet laboriosam. Harum veritatis alias doloribus eaque.
Dignissimos laboriosam dicta ipsum doloremque. Fugiat fuga voluptatibus neque. Provident ipsam eius doloremque minima distinctio.",2025-10-26,2026-03-25,1,2,106,avancado,484.64,2025-10-26T19:26:21.866920
2,O direito de mudar antes de tudo - Iniciante,"Dolore cumque harum tempora voluptate. Odio sed laboriosam illo. Ad dolor impedit quas culpa.
Perspiciatis natus nihil ducimus. Sit tenetur error. Necessitatibus sint quia odit tempore doloribus nulla sunt.",2025-10-26,2025-12-25,2,9,90,iniciante,0.0,2025-10-26T19:26:21.866920
3,O direito de ganhar em estado puro - Avancado,"Recusandae tempore exercitationem voluptatibus ratione consequuntur.
Error cumque odit id. Earum laborum eaque autem quaerat quis quasi. Ab impedit cupiditate quas sequi tenetur.",2025-10-26,2025-11-25,5,8,42,avancado,0.0,2025-10-26T19:26:21.866920
4,O poder de mudar com força total - Intermediario,"Sequi nostrum esse consectetur. Hic vero fugiat impedit ipsam. Quam a libero in.
In atque adipisci aliquam illum minus expedita minima.
Molestiae a modi ullam consequatur quod voluptas. Libero nesciunt veritatis tempora. Quas quas at ab illum earum.",2025-10-26,2026-04-24,4,3,77,intermediario,222.92,2025-10-26T19:26:21.866920
5,A arte de realizar seus sonhos direto da fonte - Avancado,"Architecto natus aspernatur laboriosam quis itaque laboriosam. Molestiae incidunt vero quam. Culpa dolore dolorem quae necessitatibus.
Occaecati hic temporibus quam odit assumenda. Voluptate nesciunt eos omnis. Sunt illum iure repellendus.",2025-10-26,2026-02-23,3,9,35,avancado,0.0,2025-10-26T19:26:21.866920
6,O conforto de inovar antes de tudo - Intermediario,"Quibusdam reprehenderit eius sapiente. Accusantium hic assumenda quod corporis.
Accusantium officiis molestiae laudantium deserunt voluptas. Omnis earum et possimus quo tempora.
Sint aspernatur optio unde. Repudiandae doloribus maxime totam ipsum provident. Aliquam deleniti impedit minima beatae.",2025-10-26,2025-11-25,1,10,112,intermediario,272.0,2025-10-26T19:26:21.866920
7,O conforto de atingir seus objetivos naturalmente - Avancado,"Totam vel qui cumque. Adipisci vel vel ducimus saepe.
Tempore odit provident doloremque inventore quod ut. Eaque nam corrupti velit.
Dolorem quisquam debitis doloribus. Aliquid nemo possimus eum magni nobis.",2025-10-26,2026-03-25,5,1,109,avancado,373.25,2025-10-26T19:26:21.866920
8,O poder de ganhar direto da fonte - Iniciante,"Magni cum sequi voluptatum voluptatum aspernatur id. Maxime odio commodi nam est perferendis unde.
Architecto repudiandae delectus deserunt occaecati. Possimus minus porro nulla nesciunt distinctio. Officiis accusantium alias similique sint inventore quod amet.",2025-10-26,2025-12-25,4,3,45,iniciante,0.0,2025-10-26T19:26:21.866920
9,A possibilidade de conseguir em estado puro - Avancado,"Error odio nam omnis. Hic reiciendis eos fugit.
Nobis possimus minus fugiat. Non animi minima quisquam numquam cupiditate impedit assumenda. At porro exercitationem optio sunt provident.
Sint vel officia quia porro. Nemo qui libero mollitia autem molestiae sed.",2025-10-26,2026-02-23,3,8,65,avancado,0.0,2025-10-26T19:26:21.866920
10,O conforto de realizar seus sonhos mais facilmente - Intermediario,"Nam quis rem consequatur laboriosam. Hic ipsum quibusdam. Repudiandae maiores odio maiores magnam.
Dignissimos adipisci harum error animi ea eius. Est possimus nam voluptatum omnis ut at.
Sapiente iusto inventore libero illo ipsum. Esse quibusdam veritatis ducimus. Quo eos iure dignissimos.",2025-10-26,2025-11-25,4,9,100,intermediario,163.97,2025-10-26T19:26:21.866920
11,A possibilidade de inovar simplesmente - Intermediario,"Provident tenetur excepturi similique laudantium veniam. Sit atque dolore consequatur expedita voluptas in. Tempora sint officiis consectetur.
Sit ea quis autem harum optio aspernatur dolorum. Aliquam in accusantium sunt officiis. Dolorem atque ullam sequi nam dolorum veritatis.",2025-10-26,2026-04-24,2,9,87,intermediario,0.0,2025-10-26T19:26:21.866920
